Animal,testnum,Box,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
7,1,3,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",dark,FALSE,4,"(7200, 9000)",0.382565242,0.621321488,1479.80967,149.9376534
8,1,4,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8382352941176483, 105.50000000000001, 103.94117647058825, 3.397058823529413], [3.397058823529413, 103.94117647058825, 102.38235294117648, 1.0588235294117658]], 'ys': [[0.8219476744186065, 0.8219476744186065, 106.32892441860464, 105.83125], [105.83125, 106.32892441860464, 211.33822674418604, 212.83124999999998]]}",dark,FALSE,0,"(0, 1800)",0.427540255,0.576901721,1538.405401,156.1000889
8,1,4,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8382352941176483, 105.50000000000001, 103.94117647058825, 3.397058823529413], [3.397058823529413, 103.94117647058825, 102.38235294117648, 1.0588235294117658]], 'ys': [[0.8219476744186065, 0.8219476744186065, 106.32892441860464, 105.83125], [105.83125, 106.32892441860464, 211.33822674418604, 212.83124999999998]]}",dark,FALSE,1,"(1800, 3600)",0.488062188,0.513603554,1776.486303,180.2578629
8,1,4,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8382352941176483, 105.50000000000001, 103.94117647058825, 3.397058823529413], [3.397058823529413, 103.94117647058825, 102.38235294117648, 1.0588235294117658]], 'ys': [[0.8219476744186065, 0.8219476744186065, 106.32892441860464, 105.83125], [105.83125, 106.32892441860464, 211.33822674418604, 212.83124999999998]]}",dark,FALSE,2,"(3600, 5400)",0.362021099,0.639644642,1690.286839,171.5113101
8,1,4,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8382352941176483, 105.50000000000001, 103.94117647058825, 3.397058823529413], [3.397058823529413, 103.94117647058825, 102.38235294117648, 1.0588235294117658]], 'ys': [[0.8219476744186065, 0.8219476744186065, 106.32892441860464, 105.83125], [105.83125, 106.32892441860464, 211.33822674418604, 212.83124999999998]]}",dark,FALSE,3,"(5400, 7200)",0.214325375,0.785674625,1381.648743,140.1941851
8,1,4,21J_LD1_05_06_07_08_2024-05-26 13-20-02.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8382352941176483, 105.50000000000001, 103.94117647058825, 3.397058823529413], [3.397058823529413, 103.94117647058825, 102.38235294117648, 1.0588235294117658]], 'ys': [[0.8219476744186065, 0.8219476744186065, 106.32892441860464, 105.83125], [105.83125, 106.32892441860464, 211.33822674418604, 212.83124999999998]]}",dark,FALSE,4,"(7200, 9000)",0.524153248,0.479178234,1905.188551,193.3171204
9,1,1,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",light,FALSE,0,"(0, 1800)",0.795113826,0.207107163,2070.968362,206.6860476
9,1,1,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",light,FALSE,1,"(1800, 3600)",0.481399223,0.520821766,1844.550253,184.0891481
9,1,1,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",light,FALSE,2,"(3600, 5400)",0.57523598,0.425319267,1665.537237,166.2233548
9,1,1,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",light,FALSE,3,"(5400, 7200)",0.599666852,0.403109384,1377.362598,137.463052
9,1,1,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.7602739726027392, 106.48630136986301, 106.48630136986301, 2.513698630136986], [2.513698630136986, 106.48630136986301, 106.48630136986301, 2.513698630136986]], 'ys': [[2.3087099542334166, 2.3087099542334166, 110.06385869565217, 109.56729118993135], [109.56729118993135, 110.06385869565217, 214.839602402746, 215.33616990846681]]}",light,FALSE,4,"(7200, 9000)",0.365907829,0.634647418,1439.653092,143.6797457
10,1,2,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",dark,FALSE,0,"(0, 1800)",0.463076069,0.539700167,1168.311342,116.9385715
10,1,2,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",dark,FALSE,1,"(1800, 3600)",0.357579123,0.647973348,1304.052444,130.5251644
10,1,2,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",dark,FALSE,2,"(3600, 5400)",0.335924486,0.665186008,1463.494539,146.4840361
10,1,2,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",dark,FALSE,3,"(5400, 7200)",0.140477512,0.861743476,1055.038641,105.6008849
10,1,2,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[1.8260869565217406, 102.62318840579711, 104.17391304347827, 2.60144927536232], [2.60144927536232, 104.17391304347827, 103.39855072463769, 2.60144927536232]], 'ys': [[1.3155172413793041, 1.3155172413793041, 106.58448275862068, 107.08103448275861], [107.08103448275861, 106.58448275862068, 213.83965517241379, 213.83965517241379]]}",dark,FALSE,4,"(7200, 9000)",0.359244864,0.64186563,1261.105214,126.2264919
11,1,3,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",light,FALSE,0,"(0, 1800)",0.520266519,0.483620211,1864.817178,188.9474824
11,1,3,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",light,FALSE,1,"(1800, 3600)",0.284841755,0.72182121,1724.568352,174.7371551
11,1,3,21J_LD1_09_10_11_12_2024-05-26 13-35-28.mkv,98,TRUE,0.5,50,1860,"{'xs': [[4.000000000000002, 109.00000000000001, 106.00000000000001, 1.0000000000000018], [1.0000000000000018, 106.00000000000001, 108.25000000000001, 2.5000000000000018]], 'ys': [[2.8051724137930973, 1.812068965517235, 110.55689655172414, 110.0603448275862], [110.0603448275862, 110.55689655172414, 215.32931034482758, 214.83275862068965]]}",light,FALSE,2,"(3600, 5400)",0.440310938,0.564131038,1630.134479,165.168902
