Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
7,1,LD1_07_08_09_13_2023-03-01 12-47-50.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,0,"(0, 1800)",0,1,386.6264536,38.96854846
7,1,LD1_07_08_09_13_2023-03-01 12-47-50.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,1,"(1800, 3600)",0.047751249,0.95613548,668.2140995,67.3501083
7,1,LD1_07_08_09_13_2023-03-01 12-47-50.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,2,"(3600, 5400)",0,1,579.9449284,58.45335165
7,1,LD1_07_08_09_13_2023-03-01 12-47-50.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,3,"(5400, 7200)",0.014436424,0.988895058,902.7409143,90.98834998
7,1,LD1_07_08_09_13_2023-03-01 12-47-50.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,4,"(7200, 9000)",0,1,773.7882937,77.99105918
12,1,LD1_12_16_17_18_2023-03-01 12-03-20.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,0,"(0, 1800)",0.395335924,0.606329817,1503.858992,151.575769
12,1,LD1_12_16_17_18_2023-03-01 12-03-20.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,1,"(1800, 3600)",0.550805108,0.450305386,1356.276243,136.700725
12,1,LD1_12_16_17_18_2023-03-01 12-03-20.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,2,"(3600, 5400)",0.390338701,0.611327041,1081.149972,108.9704149
12,1,LD1_12_16_17_18_2023-03-01 12-03-20.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,3,"(5400, 7200)",0.221543587,0.77901166,850.8599109,85.75920082
12,1,LD1_12_16_17_18_2023-03-01 12-03-20.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,4,"(7200, 9000)",0.054444444,0.946111111,519.6136234,52.37248636
14,1,LD1_14_15_23_24_2023-03-01 13-03-00.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,0,"(0, 1800)",0,1,713.927561,71.95762344
14,1,LD1_14_15_23_24_2023-03-01 13-03-00.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,1,"(1800, 3600)",0,1,470.8996608,47.46254708
14,1,LD1_14_15_23_24_2023-03-01 13-03-00.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,2,"(3600, 5400)",0.598556358,0.403109384,422.2386387,42.55794373
14,1,LD1_14_15_23_24_2023-03-01 13-03-00.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,3,"(5400, 7200)",1,0,428.331025,43.17200272
14,1,LD1_14_15_23_24_2023-03-01 13-03-00.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",dark,FALSE,4,"(7200, 9000)",0.201111111,0.801666667,735.482123,74.13013385
19,1,LD1_19_20_21_22_2023-03-01 12-18-16.mkv,99,TRUE,0.5,50,1800,"{'xs': [[5.347792832167835, 105.96317744755245, 103.67646416083916, 3.061079545454548], [3.061079545454548, 103.67646416083916, 103.67646416083916, 2.2988417832167856]], 'ys': [[2.317897727272709, 1.8224431818181637, 108.84062499999999, 109.33607954545454], [109.33607954545454, 108.84062499999999, 215.36335227272727, 215.36335227272727]]}",light,FALSE,0,"(0, 1800)",0.337590228,0.663520267,2029.950841,204.6012035
