"annotation_abrv","annotation_names","parcellation_group","graph_order","ControlVnoTrauma_z","ControlVnoTrauma_p","ControlVTrauma_z","ControlVTrauma_p","TraumaVnoTrauma_t","TraumaVnoTrauma_p","Model_p","Model_padj","Model_fdr","NTvsT_padj","NTvsT_fdr"
"ILA1","Infralimbic area, layer 1","cortical_plate","246",4.77693220163678,1.77989751268705e-06,4.06807289242912,4.74035538097474e-05,-0.758890501595938,0.447918061342158,0.000223167635425292,0.00649194481911841,TRUE,0.601680977922302,FALSE
"GRN","Gigantocellular reticular nucleus","hindbrain","958",-0.524718510809534,0.599778887258002,-0.555491976070491,0.57855819694775,-0.032636053291565,0.97396481876569,0.825535270821623,0.882132251563531,FALSE,NA,NA
"GU2/3","Gustatory areas, layer 2/3","cortical_plate","109",4.0061605227426,6.17137162694751e-05,2.51211223971905,0.0120010912273884,-1.58846302050673,0.112181676680454,0.00265404895661803,0.0199938354731891,TRUE,0.280454191701136,FALSE
"PPT","Posterior pretectal nucleus","midbrain","842",-0.553160957063604,0.580153199104988,-0.30542535434178,0.760042213775834,0.262648867386904,0.792821231224664,0.858311466706096,0.903034801394381,FALSE,NA,NA
"SCig-c","Superior colliculus, motor related, intermediate gray layer, sublayer c","midbrain","831",-0.770222326299464,0.441168022345596,-0.316135744042574,0.75189947709678,0.481341955834709,0.630273482675003,0.739682035118783,0.826730272918236,FALSE,NA,NA
"ORBvl1","Orbital area, ventrolateral part, layer 1","cortical_plate","273",4.03419680310676,5.47893842669011e-05,2.67133963493084,0.00755491620916477,-1.45134686076897,0.146683298725251,0.00223298105025349,0.0186908784206403,TRUE,0.314321354411252,FALSE
"STN","Subthalamic nucleus","diencephalon","796",3.34248645312275,0.000830314080851266,2.03441700286596,0.0419095689826596,-1.39298416202735,0.163624580082881,0.00989206526831032,0.0496801500141807,TRUE,0.33468664107862,FALSE
"NLOT1","Nucleus of the lateral olfactory tract, molecular layer","cortical_plate","423",2.28019346974302,0.0225962164777565,1.06034706872869,0.288986733179378,-1.29482704942523,0.195379898564063,0.0897605409138207,0.188705881363009,FALSE,NA,NA
"PRC","Precommissural nucleus","midbrain","833",0.548121728681678,0.583608321691159,2.10892721722363,0.0349508644862845,1.65784090492222,0.0973495825701152,0.094917362678738,0.195467913262153,FALSE,NA,NA
"AUDpo5","Posterior auditory area, layer 5","cortical_plate","147",1.37481826819708,0.169187793059218,1.84223881591865,0.065440224985882,0.497067272947668,0.619141612282058,0.196925409349734,0.32604500009553,FALSE,NA,NA
