annotation_labels,annotation_names,annotation_abrv,annotation_graph_order,volumes,parcellation_group
501,"posteromedial visual area, layer 4",VISpm4,202,7169,cortical_plate
565,"posteromedial visual area, layer 5",VISpm5,203,16877,cortical_plate
257,"posteromedial visual area, layer 6a",VISpm6a,204,11585,cortical_plate
469,"posteromedial visual area, layer 6b",VISpm6b,205,2275,cortical_plate
171,"Prelimbic area, layer 1",PL1,239,30765,cortical_plate
304,"Prelimbic area, layer 2/3",PL2/3,241,34208,cortical_plate
363,"Prelimbic area, layer 5",PL5,242,28852,cortical_plate
84,"Prelimbic area, layer 6a",PL6a,243,16388,cortical_plate
132,"Prelimbic area, layer 6b",PL6b,244,1333,cortical_plate
735,"Primary auditory area, layer 1",AUDp1,137,16294,cortical_plate
251,"Primary auditory area, layer 2/3",AUDp2/3,138,39182,cortical_plate
816,"Primary auditory area, layer 4",AUDp4,139,16563,cortical_plate
847,"Primary auditory area, layer 5",AUDp5,140,46593,cortical_plate
954,"Primary auditory area, layer 6a",AUDp6a,141,21820,cortical_plate
1005,"Primary auditory area, layer 6b",AUDp6b,142,6090,cortical_plate
320,"Primary motor area, Layer 1",MOp1,19,149419,cortical_plate
943,"Primary motor area, Layer 2/3",MOp2/3,20,330988,cortical_plate
648,"Primary motor area, Layer 5",MOp5,21,344358,cortical_plate
844,"Primary motor area, Layer 6a",MOp6a,22,244017,cortical_plate
882,"Primary motor area, Layer 6b",MOp6b,23,43771,cortical_plate
981,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,52,35823,cortical_plate
201,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,53,112563,cortical_plate
1047,"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,54,51691,cortical_plate
1070,"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,55,103351,cortical_plate
1038,"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,56,78454,cortical_plate
1062,"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,57,14293,cortical_plate
1030,"Primary somatosensory area, lower limb, layer 1",SSp-ll1,66,13610,cortical_plate
113,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,67,33461,cortical_plate
1094,"Primary somatosensory area, lower limb, layer 4",SSp-ll4,68,14951,cortical_plate
1128,"Primary somatosensory area, lower limb, layer 5",SSp-ll5,69,33760,cortical_plate
478,"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,70,24511,cortical_plate
510,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,71,6193,cortical_plate
878,"Primary somatosensory area, mouth, layer 1",SSp-m1,73,50816,cortical_plate
657,"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,74,126863,cortical_plate
950,"Primary somatosensory area, mouth, layer 4",SSp-m4,75,57011,cortical_plate
974,"Primary somatosensory area, mouth, layer 5",SSp-m5,76,103521,cortical_plate
1102,"Primary somatosensory area, mouth, layer 6a",SSp-m6a,77,79118,cortical_plate
2,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,78,7487,cortical_plate
558,"Primary somatosensory area, nose, layer 1",SSp-n1,45,21892,cortical_plate
838,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,46,63473,cortical_plate
654,"Primary somatosensory area, nose, layer 4",SSp-n4,47,32103,cortical_plate
702,"Primary somatosensory area, nose, layer 5",SSp-n5,48,55951,cortical_plate
889,"Primary somatosensory area, nose, layer 6a",SSp-n6a,49,52755,cortical_plate
929,"Primary somatosensory area, nose, layer 6b",SSp-n6b,50,5198,cortical_plate
1006,"Primary somatosensory area, trunk, layer 1",SSp-tr1,87,8145,cortical_plate
670,"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3,88,22678,cortical_plate
1086,"Primary somatosensory area, trunk, layer 4",SSp-tr4,89,6378,cortical_plate
1111,"Primary somatosensory area, trunk, layer 5",SSp-tr5,90,25067,cortical_plate
9,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,91,10674,cortical_plate
461,"Primary somatosensory area, trunk, layer 6b",SSp-tr6b,92,2045,cortical_plate
450,"Primary somatosensory area, upper limb, layer 1",SSp-ul1,80,20915,cortical_plate
854,"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,81,60653,cortical_plate
577,"Primary somatosensory area, upper limb, layer 4",SSp-ul4,82,30178,cortical_plate
625,"Primary somatosensory area, upper limb, layer 5",SSp-ul5,83,61493,cortical_plate
945,"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,84,46906,cortical_plate
1026,"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,85,10803,cortical_plate
593,"Primary visual area, layer 1",VISp1,186,56148,cortical_plate
821,"Primary visual area, layer 2/3",VISp2/3,187,132154,cortical_plate
721,"Primary visual area, layer 4",VISp4,188,61357,cortical_plate
778,"Primary visual area, layer 5",VISp5,189,132000,cortical_plate
33,"Primary visual area, layer 6a",VISp6a,190,82014,cortical_plate
305,"Primary visual area, layer 6b",VISp6b,191,10335,cortical_plate
894,"Retrosplenial area, lateral agranular part",RSPagl,298,3439,cortical_plate
442,"Retrosplenial area, dorsal part, layer 1",RSPd1,326,30893,cortical_plate
434,"Retrosplenial area, dorsal part, layer 2/3",RSPd2/3,327,64270,cortical_plate
545,"Retrosplenial area, dorsal part, layer 4",RSPd4,328,976,cortical_plate
610,"Retrosplenial area, dorsal part, layer 5",RSPd5,329,76561,cortical_plate
274,"Retrosplenial area, dorsal part, layer 6a",RSPd6a,330,46322,cortical_plate
330,"Retrosplenial area, dorsal part, layer 6b",RSPd6b,331,1223,cortical_plate
671,"Retrosplenial area, lateral agranular part, layer 1",RSPagl1,299,19519,cortical_plate
965,"Retrosplenial area, lateral agranular part, layer 2/3",RSPagl2/3,300,24510,cortical_plate
774,"Retrosplenial area, lateral agranular part, layer 5",RSPagl5,301,24606,cortical_plate
906,"Retrosplenial area, lateral agranular part, layer 6a",RSPagl6a,302,14114,cortical_plate
279,"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b,303,158,cortical_plate
542,"Retrosplenial area, ventral part, layer 1",RSPv1,333,35900,cortical_plate
430,"Retrosplenial area, ventral part, layer 2/3",RSPv2/3,335,88080,cortical_plate
687,"Retrosplenial area, ventral part, layer 5",RSPv5,336,118143,cortical_plate
590,"Retrosplenial area, ventral part, layer 6a",RSPv6a,337,59776,cortical_plate
622,"Retrosplenial area, ventral part, layer 6b",RSPv6b,338,5614,cortical_plate
656,"Secondary motor area, layer 1",MOs1,25,121223,cortical_plate
962,"Secondary motor area, layer 2/3",MOs2/3,26,208905,cortical_plate
767,"Secondary motor area, layer 5",MOs5,27,191770,cortical_plate
1021,"Secondary motor area, layer 6a",MOs6a,28,79750,cortical_plate
1085,"Secondary motor area, layer 6b",MOs6b,29,5942,cortical_plate
414,"Subparafascicular nucleus, magnocellular part",SPFm,653,5070,diencephalon
422,"Subparafascicular nucleus, parvicellular part",SPFp,654,16827,diencephalon
26,"Superior colliculus, motor related, deep gray layer",SCdg,825,78038,midbrain
42,"Superior colliculus, motor related, deep white layer",SCdw,826,21888,midbrain
10,"Superior colliculus, motor related, intermediate gray layer",SCig,828,133547,midbrain
17,"Superior colliculus, motor related, intermediate white layer",SCiw,827,134245,midbrain
494,"Superior colliculus, motor related, intermediate gray layer, sublayer a",SCig-a,829,8243,midbrain
503,"Superior colliculus, motor related, intermediate gray layer, sublayer b",SCig-b,830,26045,midbrain
511,"Superior colliculus, motor related, intermediate gray layer, sublayer c",SCig-c,831,4918,midbrain
851,"Superior colliculus, optic layer",SCop,805,41274,midbrain
842,"Superior colliculus, superficial gray layer",SCsg,806,97230,midbrain
834,"Superior colliculus, zonal layer",SCzo,807,,midbrain
114,"Superior olivary complex, lateral part",SOCl,889,12408,hindbrain
105,"Superior olivary complex, medial part",SOCm,888,9435,hindbrain
122,"Superior olivary complex, periolivary region",POR,887,8213,hindbrain
873,"Supplemental somatosensory area, layer 1",SSs1,101,49609,cortical_plate
806,"Supplemental somatosensory area, layer 2/3",SSs2/3,102,105435,cortical_plate
1035,"Supplemental somatosensory area, layer 4",SSs4,103,50294,cortical_plate
1090,"Supplemental somatosensory area, layer 5",SSs5,104,93754,cortical_plate
862,"Supplemental somatosensory area, layer 6a",SSs6a,105,68575,cortical_plate
893,"Supplemental somatosensory area, layer 6b",SSs6b,106,8102,cortical_plate
97,"Temporal association areas, layer 1",TEa1,361,28872,cortical_plate
1127,"Temporal association areas, layer 2/3",TEa2/3,362,42070,cortical_plate
234,"Temporal association areas, layer 4",TEa4,363,14555,cortical_plate
289,"Temporal association areas, layer 5",TEa5,364,58112,cortical_plate
729,"Temporal association areas, layer 6a",TEa6a,365,30318,cortical_plate
786,"Temporal association areas, layer 6b",TEa6b,366,8572,cortical_plate
1126,"Tuberomammillary nucleus, dorsal part",TMd,770,936,diencephalon
1,"Tuberomammillary nucleus, ventral part",TMv,771,1884,diencephalon
959,"Ventral auditory area, layer 1",AUDv1,151,18862,cortical_plate
755,"Ventral auditory area, layer 2/3",AUDv2/3,152,33060,cortical_plate
990,"Ventral auditory area, layer 4",AUDv4,153,16821,cortical_plate
1023,"Ventral auditory area, layer 5",AUDv5,154,47654,cortical_plate
520,"Ventral auditory area, layer 6a",AUDv6a,155,30840,cortical_plate
598,"Ventral auditory area, layer 6b",AUDv6b,156,4998,cortical_plate
920,Central lobule,CENT,1004,250358,cerebellum
928,Culmen,CUL,1013,448510,cerebellum
936,Declive (VI),DEC,1026,239591,cerebellum
944,Folium-tuber vermis (VII),FOTU,1030,58946,cerebellum
912,Lingula (I),LING,1000,7942,cerebellum
968,Nodulus (X),NOD,1042,80661,cerebellum
951,Pyramus (VIII),PYR,1034,58832,cerebellum
957,Uvula (IX),UVU,1038,140142,cerebellum
209,Lateral vestibular nucleus,LAV,985,9057,hindbrain
202,Medial vestibular nucleus,MV,986,86910,hindbrain
225,Spinal vestibular nucleus,SPIV,987,39468,hindbrain
217,Superior vestibular nucleus,SUV,988,22710,hindbrain
897,"Visceral area, layer 1",VISC1,115,18373,cortical_plate
1106,"Visceral area, layer 2/3",VISC2/3,116,26981,cortical_plate
1010,"Visceral area, layer 4",VISC4,117,12560,cortical_plate
1058,"Visceral area, layer 5",VISC5,118,30944,cortical_plate
857,"Visceral area, layer 6a",VISC6a,119,30680,cortical_plate
849,"Visceral area, layer 6b",VISC6b,120,2660,cortical_plate
432,Nucleus circularis,NC,719,,diencephalon
104,"Agranular insular area, dorsal part",AId,279,8,cortical_plate
111,"Agranular insular area, posterior part",AIp,285,,cortical_plate
119,"Agranular insular area, ventral part",AIv,291,,cortical_plate
355,"Agranular insular area, posterior part, layer 6b",AIp6b,290,,cortical_plate
699,"Agranular insular area, ventral part, layer 6b",AIv6b,296,8,cortical_plate
382,Field CA1,CA1,457,555065,cortical_plate
423,Field CA2,CA2,462,88966,cortical_plate
463,Field CA3,CA3,467,354791,cortical_plate
1056,Crus 1,ANcr1,1052,,cerebellum
1064,Crus 2,ANcr2,1056,,cerebellum
312782550,"Anterior area, layer 1",VISa1,347,,cortical_plate
312782554,"Anterior area, layer 2/3",VISa2/3,348,,cortical_plate
312782558,"Anterior area, layer 4",VISa4,349,,cortical_plate
312782562,"Anterior area, layer 5",VISa5,350,,cortical_plate
312782566,"Anterior area, layer 6a",VISa6a,351,,cortical_plate
312782570,"Anterior area, layer 6b",VISa6b,352,,cortical_plate
39,"Anterior cingulate area, dorsal part",ACAd,226,,cortical_plate
572,"Anterior cingulate area, layer 1",ACA1,221,,cortical_plate
1053,"Anterior cingulate area, layer 2/3",ACA2/3,222,,cortical_plate
739,"Anterior cingulate area, layer 5",ACA5,223,,cortical_plate
179,"Anterior cingulate area, layer 6a",ACA6a,224,,cortical_plate
227,"Anterior cingulate area, layer 6b",ACA6b,225,,cortical_plate
48,"Anterior cingulate area, ventral part",ACAv,232,,cortical_plate
64,Anterodorsal nucleus,AD,679,10074,diencephalon
127,Anteromedial nucleus,AM,676,21509,diencephalon
255,Anteroventral nucleus of thalamus,AV,675,26109,diencephalon
1113,Interanterodorsal nucleus of the thalamus,IAD,681,5646,diencephalon
1120,Interanteromedial nucleus of the thalamus,IAM,680,2981,diencephalon
155,Lateral dorsal nucleus of thalamus,LD,682,68148,diencephalon
700,"Anterior hypothalamic nucleus, anterior part",AHNa,758,,diencephalon
708,"Anterior hypothalamic nucleus, central part",AHNc,759,,diencephalon
716,"Anterior hypothalamic nucleus, dorsal part",AHNd,760,,diencephalon
724,"Anterior hypothalamic nucleus, posterior part",AHNp,761,,diencephalon
167,"Anterior olfactory nucleus, dorsal part",AONd,391,,cortical_plate
175,"Anterior olfactory nucleus, external part",AONe,392,,cortical_plate
183,"Anterior olfactory nucleus, lateral part",AONl,393,,cortical_plate
160,"Anterior olfactory nucleus, layer 1",AON1,396,,cortical_plate
168,"Anterior olfactory nucleus, layer 2",AON2,397,,cortical_plate
191,"Anterior olfactory nucleus, medial part",AONm,394,,cortical_plate
199,"Anterior olfactory nucleus, posteroventral part",AONpv,395,,cortical_plate
1096,"Anteromedial nucleus, dorsal part",AMd,677,,diencephalon
1104,"Anteromedial nucleus, ventral part",AMv,678,,diencephalon
1011,Dorsal auditory area,AUDd,122,,cortical_plate
1027,Posterior auditory area,AUDpo,143,,cortical_plate
1002,Primary auditory area,AUDp,136,,cortical_plate
1018,Ventral auditory area,AUDv,150,,cortical_plate
343,Brain stem,BS,639,,
512,Cerebellum,CB,997,1,cerebellum
567,Cerebrum,CH,2,,
327,"Basomedial amygdalar nucleus, anterior part",BMAa,567,,cortical_subplate
334,"Basomedial amygdalar nucleus, posterior part",BMAp,568,,cortical_subplate
359,"Bed nuclei of the stria terminalis, anterior division",BSTa,622,,cerebral_nuclei
367,"Bed nuclei of the stria terminalis, posterior division",BSTp,632,,cerebral_nuclei
537,"Bed nuclei of the stria terminalis, anterior division, anterolateral area",BSTal,623,,cerebral_nuclei
498,"Bed nuclei of the stria terminalis, anterior division, anteromedial area",BSTam,624,,cerebral_nuclei
505,"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",BSTdm,625,,cerebral_nuclei
513,"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",BSTfu,626,,cerebral_nuclei
546,"Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus",BSTju,627,,cerebral_nuclei
521,"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",BSTmg,628,,cerebral_nuclei
554,"Bed nuclei of the stria terminalis, anterior division, oval nucleus",BSTov,629,,cerebral_nuclei
562,"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",BSTrh,630,,cerebral_nuclei
529,"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",BSTv,631,,cerebral_nuclei
569,"Bed nuclei of the stria terminalis, posterior division, dorsal nucleus",BSTd,633,,cerebral_nuclei
585,"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",BSTif,635,,cerebral_nuclei
578,"Bed nuclei of the stria terminalis, posterior division, principal nucleus",BSTpr,634,,cerebral_nuclei
