"annotation_abrv","annotation_names","group","mean","sem","sd","var"
"VISam6a","Anteromedial visual area, layer 6a","Control",40.75,11.4653982548735,32.4290434201019,1051.64285714286
"VISam6a","Anteromedial visual area, layer 6a","No Trauma",87.7,29.2137905030408,92.382117076605,8534.45555555556
"VISam6a","Anteromedial visual area, layer 6a","Trauma",63.3,12.2674365700418,38.7930406129759,1504.9
"VISam6b","Anteromedial visual area, layer 6b","Control",7.75,2.96256404391293,8.37939650060109,70.2142857142857
"VISam6b","Anteromedial visual area, layer 6b","No Trauma",5.9,1.1200198410941,3.5418137224372,12.5444444444444
"VISam6b","Anteromedial visual area, layer 6b","Trauma",6.1,1.53079500042734,4.84079883214882,23.4333333333333
"BLAa","Basolateral amygdalar nucleus, anterior part","Control",650.125,80.9714318007107,229.021794034666,52450.9821428571
"BLAa","Basolateral amygdalar nucleus, anterior part","No Trauma",1015.6,115.121887097497,364.047371764842,132530.488888889
"BLAa","Basolateral amygdalar nucleus, anterior part","Trauma",1031.3,127.421003850316,402.940593912083,162361.122222222
"BLAp","Basolateral amygdalar nucleus, posterior part","Control",292.5,43.6733001141103,123.52674666993,15258.8571428571
"BLAp","Basolateral amygdalar nucleus, posterior part","No Trauma",537.2,56.6379927453491,179.105059175396,32078.6222222222
"BLAp","Basolateral amygdalar nucleus, posterior part","Trauma",698.1,94.3363309299939,298.317671842171,88993.4333333333
"BLAv","Basolateral amygdalar nucleus, ventral part","Control",140.375,20.305644447507,57.4330355407806,3298.55357142857
"BLAv","Basolateral amygdalar nucleus, ventral part","No Trauma",216.2,25.3292979242089,80.0982729734751,6415.73333333333
"BLAv","Basolateral amygdalar nucleus, ventral part","Trauma",254.6,43.8459931021195,138.653204474729,19224.7111111111
"DCO","Dorsal cochlear nucleus","Control",216.125,25.194555463433,71.2609640686961,5078.125
"DCO","Dorsal cochlear nucleus","No Trauma",222.5,31.4897690616422,99.5793932274924,9916.05555555555
"DCO","Dorsal cochlear nucleus","Trauma",279.1,40.7042039870849,128.717994943295,16568.3222222222
"VCO","Ventral cochlear nucleus","Control",77.625,13.9154814864596,39.3589252902058,1549.125
"VCO","Ventral cochlear nucleus","No Trauma",97.4,18.5053745946654,58.519132673758,3424.48888888889
"VCO","Ventral cochlear nucleus","Trauma",84,14.0901857096822,44.5570794973519,1985.33333333333
"COAa","Cortical amygdalar area, anterior part","Control",779.375,81.3095798037177,229.97822101855,52889.9821428571
"COAa","Cortical amygdalar area, anterior part","No Trauma",1203,165.389439404899,523.007329457883,273536.666666667
"COAa","Cortical amygdalar area, anterior part","Trauma",1159.8,81.8809162408705,258.930192222623,67044.8444444444
"COAp","Cortical amygdalar area, posterior part","Control",919.75,114.567938359735,324.047064482924,105006.5
"COAp","Cortical amygdalar area, posterior part","No Trauma",1503.2,189.272161479471,598.531127938315,358239.511111111
"COAp","Cortical amygdalar area, posterior part","Trauma",1757.5,200.917962805165,635.358385305316,403680.277777778
"DG-sg","Dentate gyrus, granule cell layer","Control",2912.25,268.08072811322,758.246803017141,574938.214285714
"DG-sg","Dentate gyrus, granule cell layer","No Trauma",2221,196.493200334713,621.366057793454,386095.777777778
"DG-sg","Dentate gyrus, granule cell layer","Trauma",2125.8,147.977911264561,467.947242990299,218974.622222222
"DG-mo","Dentate gyrus, molecular layer","Control",1105.875,124.89101498907,353.245134432167,124782.125
