Animal,Experiment,Date,din,state,time,rewarded
01,25c2,250701,4,1.0,1751387483.627232,0.0
01,25c2,250701,4,0.0,1751387483.6591463,
01,25c2,250701,4,1.0,1751387483.7052002,0.0
01,25c2,250701,4,0.0,1751387483.737135,
01,25c2,250701,4,1.0,1751387483.8006232,0.0
01,25c2,250701,4,0.0,1751387483.8325365,
01,25c2,250701,4,1.0,1751387483.8795664,0.0
01,25c2,250701,4,0.0,1751387483.9272256,
01,25c2,250701,4,1.0,1751387483.973616,0.0
01,25c2,250701,4,0.0,1751387484.020495,
01,25c2,250701,4,1.0,1751387484.0681918,0.0
01,25c2,250701,4,0.0,1751387484.1321268,
01,25c2,250701,4,1.0,1751387484.179299,0.0
01,25c2,250701,4,0.0,1751387484.2272832,
01,25c2,250701,4,1.0,1751387484.2905948,0.0
01,25c2,250701,4,0.0,1751387484.337249,
01,25c2,250701,4,1.0,1751387484.38483,0.0
01,25c2,250701,4,0.0,1751387484.4481409,
01,25c2,250701,4,1.0,1751387484.495443,0.0
01,25c2,250701,4,0.0,1751387484.5434582,
01,25c2,250701,4,1.0,1751387484.62203,0.0
01,25c2,250701,4,0.0,1751387484.6694608,
01,25c2,250701,4,1.0,1751387484.733291,0.0
01,25c2,250701,4,0.0,1751387484.7811334,
01,25c2,250701,4,1.0,1751387484.844233,0.0
01,25c2,250701,4,0.0,1751387484.891243,
01,25c2,250701,4,1.0,1751387484.9710295,0.0
01,25c2,250701,4,0.0,1751387485.0019474,
01,25c2,250701,4,1.0,1751387485.0977423,0.0
01,25c2,250701,4,0.0,1751387485.1297455,
01,25c2,250701,4,1.0,1751387485.207878,0.0
01,25c2,250701,4,0.0,1751387485.255137,
01,25c2,250701,4,1.0,1751387485.3178225,0.0
01,25c2,250701,4,0.0,1751387485.3656604,
01,25c2,250701,4,1.0,1751387485.4277642,0.0
01,25c2,250701,4,0.0,1751387485.4732385,
01,25c2,250701,4,1.0,1751387485.5681193,0.0
01,25c2,250701,4,0.0,1751387485.585075,
01,25c2,250701,4,1.0,1751387507.5413113,0.0
01,25c2,250701,4,0.0,1751387507.55727,
01,25c2,250701,4,1.0,1751387507.6673586,0.0
01,25c2,250701,4,0.0,1751387507.6842823,
01,25c2,250701,5,1.0,1751387509.702656,1.0
01,25c2,250701,5,0.0,1751387509.7191317,
01,25c2,250701,5,1.0,1751387509.7652378,0.0
01,25c2,250701,5,0.0,1751387509.796685,
01,25c2,250701,5,1.0,1751387509.844707,0.0
01,25c2,250701,5,0.0,1751387509.8917658,
01,25c2,250701,5,1.0,1751387509.9392295,0.0
01,25c2,250701,5,0.0,1751387509.987064,
01,25c2,250701,5,1.0,1751387510.0335398,0.0
01,25c2,250701,5,0.0,1751387510.0805662,
01,25c2,250701,5,1.0,1751387510.1442025,0.0
01,25c2,250701,5,0.0,1751387510.191444,
01,25c2,250701,5,1.0,1751387510.2548366,0.0
01,25c2,250701,5,0.0,1751387510.3014228,
01,25c2,250701,5,1.0,1751387510.348611,0.0
01,25c2,250701,5,0.0,1751387510.3954906,
01,25c2,250701,5,1.0,1751387510.457905,0.0
01,25c2,250701,5,0.0,1751387510.5045729,
01,25c2,250701,5,1.0,1751387510.567843,0.0
01,25c2,250701,5,0.0,1751387510.6152582,
01,25c2,250701,3,1.0,1751387515.5704,1.0
01,25c2,250701,3,0.0,1751387515.602438,
01,25c2,250701,3,1.0,1751387515.6496933,0.0
01,25c2,250701,3,0.0,1751387515.681609,
01,25c2,250701,3,1.0,1751387515.7294805,0.0
01,25c2,250701,3,0.0,1751387515.7772398,
01,25c2,250701,3,1.0,1751387515.841112,0.0
01,25c2,250701,3,0.0,1751387515.8891463,
01,25c2,250701,3,1.0,1751387515.9506607,0.0
01,25c2,250701,3,0.0,1751387515.9984388,
01,25c2,250701,3,1.0,1751387516.0616095,0.0
01,25c2,250701,3,0.0,1751387516.1094575,
01,25c2,250701,3,1.0,1751387516.172829,0.0
01,25c2,250701,3,0.0,1751387516.2193477,
