Animal,Experiment,din,state,time,rewarded
08,25c5,5,1.0,1761068739.246293,0.0
08,25c5,5,0.0,1761068739.2934098,
08,25c5,5,1.0,1761068739.3403106,0.0
08,25c5,5,0.0,1761068739.4032354,
08,25c5,5,1.0,1761068739.4496572,0.0
08,25c5,5,0.0,1761068739.497005,
08,25c5,5,1.0,1761068739.5446832,0.0
08,25c5,5,0.0,1761068739.608021,
08,25c5,5,1.0,1761068739.655995,0.0
08,25c5,5,0.0,1761068739.703836,
08,25c5,5,1.0,1761068739.7506046,0.0
08,25c5,5,0.0,1761068739.8138697,
08,25c5,5,1.0,1761068739.8616552,0.0
08,25c5,5,0.0,1761068739.9088817,
08,25c5,3,1.0,1761068742.3552077,1.0
08,25c5,3,0.0,1761068742.3866782,
08,25c5,3,1.0,1761068742.4335985,0.0
08,25c5,3,0.0,1761068742.4800248,
08,25c5,3,1.0,1761068742.5273538,0.0
08,25c5,3,0.0,1761068742.575492,
08,25c5,3,1.0,1761068742.6224427,0.0
08,25c5,3,0.0,1761068742.653599,
08,25c5,3,1.0,1761068742.7005684,0.0
08,25c5,3,0.0,1761068742.762337,
08,25c5,3,1.0,1761068742.792951,0.0
08,25c5,3,0.0,1761068742.8552115,
08,25c5,3,1.0,1761068742.9024372,0.0
08,25c5,3,0.0,1761068742.949531,
08,25c5,3,1.0,1761068743.0123122,0.0
08,25c5,3,0.0,1761068743.0595334,
08,25c5,3,1.0,1761068743.107293,0.0
08,25c5,3,0.0,1761068743.153692,
08,25c5,3,1.0,1761068743.2161791,0.0
08,25c5,3,0.0,1761068743.2636003,
08,25c5,3,1.0,1761068743.3108864,0.0
08,25c5,3,0.0,1761068743.3743162,
08,25c5,3,1.0,1761068743.406234,0.0
08,25c5,3,0.0,1761068743.4693227,
08,25c5,3,1.0,1761068743.5169015,0.0
08,25c5,3,0.0,1761068743.5787375,
08,25c5,3,1.0,1761068743.62591,0.0
08,25c5,3,0.0,1761068743.6877737,
08,25c5,3,1.0,1761068743.7358077,0.0
08,25c5,3,0.0,1761068743.7831044,
08,25c5,3,1.0,1761068743.8296516,0.0
08,25c5,3,0.0,1761068743.8911192,
08,25c5,3,1.0,1761068743.9391692,0.0
08,25c5,3,0.0,1761068744.002758,
