Animal,Test,Box,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
4,pre,2,250819_21H2_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",dark,FALSE,7,"(12600, 14400)",0.363686841,0.637423654,1693.859975,126.9980254
5,pre,1,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,0,"(0, 1800)",0.646862854,0.353137146,1909.950065,142.3728862
5,pre,1,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,1,"(1800, 3600)",0.399222654,0.604664076,2153.147253,160.5014678
5,pre,1,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,2,"(3600, 5400)",0.355913381,0.64575236,2067.683606,154.1307744
5,pre,1,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,3,"(5400, 7200)",0.299278179,0.700721821,1959.62577,146.0758487
5,pre,1,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,4,"(7200, 9000)",0.397001666,0.602998334,1983.748786,147.8740441
5,pre,1,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,5,"(9000, 10800)",0.42865075,0.573014992,1570.975344,117.1047861
5,pre,1,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,6,"(10800, 12600)",0.321488062,0.679067185,1576.976347,117.5521172
5,pre,1,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3216560509554163, 140.6783439490446, 141.5891719745223, 2.2324840764331233], [2.2324840764331233, 141.5891719745223, 140.6783439490446, 3.1433121019108303]], 'ys': [[2.1464968152866355, 1.5350318471337694, 144.61783439490446, 143.39490445859875], [143.39490445859875, 144.61783439490446, 285.86624203821657, 285.86624203821657]]}",dark,FALSE,7,"(12600, 14400)",0.552222222,0.447777778,1464.349339,109.1565929
6,pre,2,250819_21H2_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[1.3012422360248461, 141.79813664596273, 144.5, 1.3012422360248461], [1.3012422360248461, 144.5, 139.99689440993788, 2.2018633540372687]], 'ys': [[2.1464968152866355, 1.5350318471337694, 147.06369426751593, 145.22929936305732], [145.22929936305732, 147.06369426751593, 286.4777070063694, 287.0891719745223]]}",light,FALSE,0,"(0, 1800)",0.773459189,0.226540811,1888.993614,141.6282706
