Animal,ExcludeLD,Notes,File,test,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
10,0,,240318_21G4d_LD_09_10.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,1,"(0, 3600)",0.563176895,0.437656207,3455.769753,258.6206357
10,0,,240318_21G4d_LD_09_10.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,2,"(3600, 7200)",0.462649264,0.540127742,3075.031898,230.1272252
10,0,,240318_21G4d_LD_09_10.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,3,"(7200, 10800)",0.515967787,0.484032213,2433.523805,182.1184622
10,0,,240318_21G4d_LD_09_10.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,4,"(10800, 14400)",0.380833333,0.6225,2463.612289,184.3702045
11,0,,240318_21G4d_LD_11_12.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,1,"(0, 3600)",0,1,1801.385974,134.8109449
11,0,,240318_21G4d_LD_11_12.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,2,"(3600, 7200)",0.283254651,0.717023049,2913.71106,218.0544019
11,0,,240318_21G4d_LD_11_12.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,3,"(7200, 10800)",0.112468759,0.887531241,2119.298991,158.6027112
11,0,,240318_21G4d_LD_11_12.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,4,"(10800, 14400)",0,1,1994.386285,149.2545758
12,0,,240318_21G4d_LD_11_12.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,1,"(0, 3600)",0,1,1930.671791,144.4863522
12,0,,240318_21G4d_LD_11_12.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,2,"(3600, 7200)",0,1,1407.716956,105.3498005
12,0,,240318_21G4d_LD_11_12.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,3,"(7200, 10800)",0,1,1028.969756,77.00536533
12,0,,240318_21G4d_LD_11_12.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[2.3723404255319114, 2.3723404255319114, 129.71276595744678, 129.71276595744678, 129.71276595744678, 129.71276595744678], [0.45744680851063496, 128.75531914893614, 129.71276595744678, 2.3723404255319114]], 'ys': [[0.17105622270744963, 144.96581604803495, 145.5793531659389, 2.01166757641924, 2.01166757641924, 2.01166757641924], [278.1033706331878, 278.1033706331878, 145.5793531659389, 144.96581604803495]]}",dark,FALSE,4,"(10800, 14400)",0.023630803,0.978037253,1586.820401,118.7534269
13,0,,240318_21G4d_LD_13_14.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,1,"(0, 3600)",0.207442377,0.792835324,3065.448824,229.4100534
13,0,,240318_21G4d_LD_13_14.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,2,"(3600, 7200)",0.250485976,0.749514024,2892.593073,216.4739878
13,0,,240318_21G4d_LD_13_14.avi,pre,99,TRUE,0.5,50,1800,"{'xs': [[11.149635036496349, 127.64598540145984, 129.5875912408759, 1.441605839416057], [1.441605839416057, 129.5875912408759, 128.6167883211679, 2.4124087591240864]], 'ys': [[5.718470982142885, 2.022042410714314, 139.4059709821429, 138.78989955357144], [138.78989955357144, 139.4059709821429, 273.7095424107143, 273.7095424107143]]}",dark,FALSE,3,"(7200, 10800)",0.257150791,0.74340461,2667.612178,199.6370148
