Animal,TestNumber,Box,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance_px,Distance_cm
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,11,"(300, 330)",31.26644145,6.140145868
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,12,"(330, 360)",19.22107113,3.774659828
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,12,"(330, 360)",17.51459145,3.439539051
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,12,"(330, 360)",44.02593949,8.645873272
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,12,"(330, 360)",10.17760873,1.998692506
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,12,"(330, 360)",14.38734626,2.825406429
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,12,"(330, 360)",7.753775111,1.522696796
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,12,"(330, 360)",10.32169721,2.026988795
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,12,"(330, 360)",8.019730858,1.574925544
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,12,"(330, 360)",56.81246566,11.1569085
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,12,"(330, 360)",46.82793411,9.196132749
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,12,"(330, 360)",10.00921175,1.96562248
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,12,"(330, 360)",15.78160466,3.099212771
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,12,"(330, 360)",12.38343503,2.431875644
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,12,"(330, 360)",12.67839684,2.489800642
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,12,"(330, 360)",19.7818527,3.884786867
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,12,"(330, 360)",11.84607085,2.326347343
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,13,"(360, 390)",20.74975997,4.074865799
3,1,1,250606_10N6d_Loc1_03_04.avi,99,TRUE,0.9,100,0,13,"(360, 390)",51.39337963,10.09270109
5,1,1,250606_10N6d_Loc1_05_06.avi,99,TRUE,0.9,100,0,13,"(360, 390)",97.24973803,19.09803449
7,1,1,250606_10N6d_Loc1_07_08.avi,99,TRUE,0.9,100,0,13,"(360, 390)",12.82385957,2.518366809
9,1,1,250606_10N6d_Loc1_09_10.avi,99,TRUE,0.9,100,0,13,"(360, 390)",23.69494718,4.653245629
11,1,1,250606_10N6d_Loc1_11_12.avi,99,TRUE,0.9,100,0,13,"(360, 390)",6.939988512,1.362884288
13,1,1,250606_10N6d_Loc1_13_14.avi,99,TRUE,0.9,100,0,13,"(360, 390)",16.01460856,3.144970391
15,1,1,250606_10N6d_Loc1_15_16.avi,99,TRUE,0.9,100,0,13,"(360, 390)",11.13436322,2.18658124
17,1,1,250606_10N6d_Loc1_17_18.avi,99,TRUE,0.9,100,0,13,"(360, 390)",21.01675124,4.127297905
19,1,1,250606_10N6d_Loc1_19_20.avi,99,TRUE,0.9,100,0,13,"(360, 390)",49.43759653,9.708621768
21,1,1,250606_10N6d_Loc1_21_22.avi,99,TRUE,0.9,100,0,13,"(360, 390)",11.89085115,2.335141359
23,1,1,250606_10N6d_Loc1_23_24.avi,99,TRUE,0.9,100,0,13,"(360, 390)",10.34478782,2.03152336
25,1,1,250606_10N6d_Loc1_25_26.avi,99,TRUE,0.9,100,0,13,"(360, 390)",10.96092919,2.152522033
27,1,1,250606_10N6d_Loc1_27_28.avi,99,TRUE,0.9,100,0,13,"(360, 390)",47.02625458,9.23507919
29,1,1,250606_10N6d_Loc1_29_30.avi,99,TRUE,0.9,100,0,13,"(360, 390)",79.9220702,15.69520375
31,1,1,250606_10N6d_Loc1_31_32.avi,99,TRUE,0.9,100,0,13,"(360, 390)",14.9668302,2.939206266
1,1,1,250606_10N6d_Loc1_01_02.avi,99,TRUE,0.9,100,0,14,"(390, 420)",16.55212815,3.250529213
