Animal,File,phase,subphase,component,freezing,motion
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,postshock,postshock_3,11.83333333,575.4433333
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,postshock,postshock_3,54.5,202.2833333
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,postshock,postshock_3,12.16666667,596.7866667
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,postshock,postshock_3,54.33333333,221.14
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,postshock,postshock_3,38.16666667,333.4166667
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,postshock,postshock_3,54.16666667,190.78
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,postshock,postshock_4,58.16666667,198.2633333
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,postshock,postshock_4,32.5,290.4266667
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,postshock,postshock_4,53.5,229.9666667
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,postshock,postshock_4,53.33333333,241.6216667
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,postshock,postshock_4,23.66666667,638.94
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,postshock,postshock_4,80.33333333,98.20666667
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,postshock,postshock_4,0,1098.686667
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,postshock,postshock_4,50,314.1216667
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,postshock,postshock_4,55.16666667,299.125
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,postshock,postshock_4,10.83333333,647.48
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,postshock,postshock_4,69.33333333,106.9216667
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,postshock,postshock_4,50.5,356.77
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,postshock,postshock_4,19,683.715
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,postshock,postshock_4,47.5,295.6033333
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,postshock,postshock_4,74.83333333,91.96333333
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,postshock,postshock_4,39.33333333,305.9133333
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,postshock,postshock_4,34.66666667,305.7733333
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,postshock,postshock_4,90,32.61666667
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,postshock,postshock_4,18.16666667,644.5383333
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,postshock,postshock_4,62.16666667,192.0716667
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,postshock,postshock_4,10.16666667,792.4733333
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,postshock,postshock_4,2.666666667,725.2166667
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,postshock,postshock_4,93,61.32
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,postshock,postshock_4,57,163.4616667
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,postshock,postshock_4,10.16666667,641.9583333
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,postshock,postshock_4,48.33333333,161.545
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,postshock,postshock_4,60.5,175.6333333
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,postshock,postshock_5,4.333333333,697.0433333
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,postshock,postshock_5,29,499.5816667
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,postshock,postshock_5,67.83333333,224.2016667
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,postshock,postshock_5,81.5,81.05666667
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,postshock,postshock_5,56.83333333,228.63
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,postshock,postshock_5,100,1.525
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,postshock,postshock_5,11.83333333,530.36
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,postshock,postshock_5,64,171.075
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,postshock,postshock_5,57.83333333,230.9833333
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,postshock,postshock_5,26.5,623.6233333
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,postshock,postshock_5,55.16666667,272.7733333
7,240327_SEFL21H_trauma_07_08 Box 1.wmv,trauma,postshock,postshock_5,60.33333333,201.2566667
8,240327_SEFL21H_trauma_07_08 Box 2.wmv,trauma,postshock,postshock_5,1.5,980.4316667
9,240327_SEFL21H_trauma_09_10 Box 1.wmv,trauma,postshock,postshock_5,19.5,543.1466667
10,240327_SEFL21H_trauma_09_10 Box 2.wmv,trauma,postshock,postshock_5,61.66666667,255.1316667
11,240327_SEFL21H_trauma_11_12 Box 1.wmv,trauma,postshock,postshock_5,2.833333333,783.98
12,240327_SEFL21H_trauma_11_12 Box 2.wmv,trauma,postshock,postshock_5,66.66666667,147.0016667
13,240327_SEFL21H_trauma_13_14 Box 1.wmv,trauma,postshock,postshock_5,66.16666667,182.955
14,240327_SEFL21H_trauma_13_14 Box 2.wmv,trauma,postshock,postshock_5,24.33333333,475.31
15,240327_SEFL21H_trauma_15_16 Box 1.wmv,trauma,postshock,postshock_5,93.83333333,17.17333333
16,240327_SEFL21H_trauma_15_16 Box 2.wmv,trauma,postshock,postshock_5,15.66666667,668.7433333
17,240327_SEFL21H_trauma_17_18 Box 1.wmv,trauma,postshock,postshock_5,27.83333333,436.9316667
18,240327_SEFL21H_trauma_17_18 Box 2.wmv,trauma,postshock,postshock_5,71.33333333,161.8366667
20,240327_SEFL21H_trauma_19_20 Box 2.wmv,trauma,postshock,postshock_5,58,262.5266667
22,240327_SEFL21H_trauma_21_22 Box 2.wmv,trauma,postshock,postshock_5,17.66666667,686.3066667
25,240327_SEFL21H_trauma_24_25 Box 2.wmv,trauma,postshock,postshock_5,52.33333333,321.8616667
27,240327_SEFL21H_trauma_26_27 Box 2.wmv,trauma,postshock,postshock_5,93.16666667,32.44166667
19,240327_SEFL21H_trauma_19_20 Box 1.wmv,trauma,postshock,postshock_6,41.33333333,254.275
21,240327_SEFL21H_trauma_21_22 Box 1.wmv,trauma,postshock,postshock_6,43.66666667,202.7716667
24,240327_SEFL21H_trauma_24_25 Box 1.wmv,trauma,postshock,postshock_6,47.5,271.96
26,240327_SEFL21H_trauma_26_27 Box 1.wmv,trauma,postshock,postshock_6,45.66666667,268.4166667
28,240327_SEFL21H_trauma_28 Box 1.wmv,trauma,postshock,postshock_6,55.83333333,188.1016667
1,240327_SEFL21H_trauma_01_02 Box 1.wmv,trauma,postshock,postshock_6,84.66666667,82.51
2,240327_SEFL21H_trauma_01_02 Box 2.wmv,trauma,postshock,postshock_6,16.83333333,519.8766667
3,240327_SEFL21H_trauma_03_04 Box 1.wmv,trauma,postshock,postshock_6,76.5,97.73666667
4,240327_SEFL21H_trauma_03_04 Box 2.wmv,trauma,postshock,postshock_6,62.83333333,280.5016667
5,240327_SEFL21H_trauma_05_06 Box 1.wmv,trauma,postshock,postshock_6,19.33333333,693.0283333
6,240327_SEFL21H_trauma_05_06 Box 2.wmv,trauma,postshock,postshock_6,73.66666667,116.7816667
