Animal,test,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
3,pre,240318_21H_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,3,"(7200, 10800)",0.409330741,0.592613163,2418.087028,183.2951598
3,pre,240318_21H_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[3.86861313868613, 131.04379562043795, 132.01459854014598, 2.8978102189781008, 2.8978102189781008, 2.8978102189781008], [2.8978102189781008, 127.16058394160584, 132.01459854014598, 2.8978102189781008]], 'ys': [[4.46581604803496, 3.2387418122271003, 138.83044486899564, 139.4439819868996, 139.4439819868996, 139.4439819868996], [277.48983351528386, 278.7169077510917, 138.83044486899564, 139.4439819868996]]}",dark,FALSE,4,"(10800, 14400)",0.240488753,0.760622049,2523.223057,191.2646518
4,pre,240318_21H_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,1,"(0, 3600)",0.474590392,0.527908914,4334.178533,331.2832327
4,pre,240318_21H_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,2,"(3600, 7200)",0.24798667,0.753124132,3564.781035,272.4742823
4,pre,240318_21H_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,3,"(7200, 10800)",0.43904471,0.563732297,3289.751465,251.4523783
4,pre,240318_21H_LD_03_04.avi,99,TRUE,0.5,50,1800,"{'xs': [[0.9460431654676281, 132.05395683453236, 130.12589928057554, 0.9460431654676281], [1.9100719424460455, 130.12589928057554, 130.12589928057554, 0.9460431654676281, 0.9460431654676281]], 'ys': [[0.16945043103449156, 0.781519396551733, 139.10910560344828, 141.55738146551724], [281.10910560344826, 281.10910560344826, 139.10910560344828, 141.55738146551724, 141.55738146551724]]}",dark,FALSE,4,"(10800, 14400)",0.11302416,0.88697584,2810.571,214.8261866
5,pre,240318_21H_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[7.53103448275862, 135.08275862068967, 134.13793103448276, 1.8620689655172402, 1.8620689655172402, 1.8620689655172402, 1.8620689655172402, 1.8620689655172402], [4.69655172413793, 132.248275862069, 134.13793103448276, 1.8620689655172402, 1.8620689655172402]], 'ys': [[5.6879076086956335, 6.300951086956503, 140.55747282608695, 142.39660326086954, 142.39660326086954, 142.39660326086954, 142.39660326086954, 142.39660326086954], [277.8792119565217, 279.71834239130436, 140.55747282608695, 142.39660326086954, 142.39660326086954]]}",dark,FALSE,1,"(2700, 3600)",0,1,726.4432141,55.27093829
5,pre,240318_21H_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[7.53103448275862, 135.08275862068967, 134.13793103448276, 1.8620689655172402, 1.8620689655172402, 1.8620689655172402, 1.8620689655172402, 1.8620689655172402], [4.69655172413793, 132.248275862069, 134.13793103448276, 1.8620689655172402, 1.8620689655172402]], 'ys': [[5.6879076086956335, 6.300951086956503, 140.55747282608695, 142.39660326086954, 142.39660326086954, 142.39660326086954, 142.39660326086954, 142.39660326086954], [277.8792119565217, 279.71834239130436, 140.55747282608695, 142.39660326086954, 142.39660326086954]]}",dark,FALSE,2,"(3600, 7200)",0.396001111,0.605665093,5074.450864,386.0861456
5,pre,240318_21H_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[7.53103448275862, 135.08275862068967, 134.13793103448276, 1.8620689655172402, 1.8620689655172402, 1.8620689655172402, 1.8620689655172402, 1.8620689655172402], [4.69655172413793, 132.248275862069, 134.13793103448276, 1.8620689655172402, 1.8620689655172402]], 'ys': [[5.6879076086956335, 6.300951086956503, 140.55747282608695, 142.39660326086954, 142.39660326086954, 142.39660326086954, 142.39660326086954, 142.39660326086954], [277.8792119565217, 279.71834239130436, 140.55747282608695, 142.39660326086954, 142.39660326086954]]}",dark,FALSE,3,"(7200, 10800)",0.523188003,0.479311302,3879.173505,295.1442801
5,pre,240318_21H_LD_05_06.avi,99,TRUE,0.5,50,1800,"{'xs': [[7.53103448275862, 135.08275862068967, 134.13793103448276, 1.8620689655172402, 1.8620689655172402, 1.8620689655172402, 1.8620689655172402, 1.8620689655172402], [4.69655172413793, 132.248275862069, 134.13793103448276, 1.8620689655172402, 1.8620689655172402]], 'ys': [[5.6879076086956335, 6.300951086956503, 140.55747282608695, 142.39660326086954, 142.39660326086954, 142.39660326086954, 142.39660326086954, 142.39660326086954], [277.8792119565217, 279.71834239130436, 140.55747282608695, 142.39660326086954, 142.39660326086954]]}",dark,FALSE,4,"(10800, 14400)",0.226021685,0.774812344,4537.728766,345.2500096
